date,artist,venue,type,link,source
2026-09-09,The AMY WINEHOUSE BAND,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/04/the-amy-winehouse-band/,Tvornica
2026-09-20,Lavina i Alexandra Căpitănescu –,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/07/lavina-i-alexandra-capitanescu-u-tvornici-kulture/,Tvornica
2026-09-26,LIL DRITO IZ TVORNICE 2026.,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/07/lil-drito-iz-tvornice-2026/,Tvornica
2026-10-01,Klapa Kampanel – 30 GODINA,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/05/klapa-kampanel-30-godina/,Tvornica
2026-10-07,NAZARETH,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/07/nazareth-u-tvornici-kulture/,Tvornica
2026-10-09,MILE KEKIN,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/03/mile-kekin-u-tvornici-kulture-2/,Tvornica
2026-10-10,Jasna Zlokić @ Zagreb – Tvornica Kulture,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/04/jasna-zlokic-zagreb-tvornica-kulture/,Tvornica
2026-10-15,NEW MODEL ARMY Justin Sullivan & Dean White,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/08/new-model-army-justin-sullivan-dean-white-u-tvornici-kulture/,Tvornica
2026-10-17,Porto Morto,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/07/porto-morto-u-tvornici-kulture/,Tvornica
2026-10-18,NAŠIH 10,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/04/nasih-10/,Tvornica
2026-10-24,DALEKA OBALA  / Jakša i Hrepa kvartet,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/06/daleka-obala-jaksa-i-hrepa-kvartet/,Tvornica
2026-10-28,БИ 2,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/04/3525/,Tvornica
2026-11-07,ELEKTRIČNI ORGAZAM + posebna gošća ANICA DOBRA,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/07/elektricni-orgazam-posebna-gosca-anica-dobra/,Tvornica
2026-11-11,SPIKE FUCK,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/07/spike-fuck/,Tvornica
2026-11-12,KLINIKA DENISA KATANECA,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/07/klinika-denisa-kataneca-u-tvornici-kulture/,Tvornica
2026-11-13,CLAN OF XYMOX,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/02/clan-of-xymox-u-tvornici-kulture/,Tvornica
2026-11-17,SUEDE – YAMMATOVO 6 fueled by Cockta,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/07/suede-yammatovo-6-fueled-by-cockta/,Tvornica
2026-11-21,JURA STUBLIĆ & FILM,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/07/jura-stublic-film-u-tvornici-kulture-3/,Tvornica
2026-11-25,MARKO VUKES – prvi solistički koncert,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/05/marko-vukes-prvi-solisticki-koncert/,Tvornica
2026-11-29,Sharon Kovacs,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/06/sharon-kovacs-u-tvornici-kulture/,Tvornica
2026-12-26,Studio 54 by Tomo Ricov,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/02/studio-54-by-tomo-ricov/,Tvornica
2027-01-08,SWINGERS present's ELVIS!,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/02/swingers-presents-elvis-u-tvornici-kulture/,Tvornica
2027-02-06,DAF – Deutsch Amerikanische Freundschaft,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2025/05/daf-deutsch-amerikanische-freundschaft/,Tvornica
2027-04-18,IAN PAICE (DEEP PURPLE) PURPENDICULAR,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/06/ian-paice-deep-purple-purpendicular/,Tvornica
1017-05-02,TARJA,Tvornica Kulture,Concert,https://www.tvornicakulture.com/2026/08/tarja-u-tvornici-kulture/,Tvornica
